日期,指数代码,指数名称,指数英文名称,成分券代码,成分券名称,成分券英文名称,交易所,交易所英文名称,权重
2026-03-31,000300,沪深300,CSI 300,000001,平安银行,"Ping An Bank Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.442
2026-03-31,000300,沪深300,CSI 300,000002,万科A,China Vanke Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.112
2026-03-31,000300,沪深300,CSI 300,000063,中兴通讯,ZTE Corporation,深圳证券交易所,Shenzhen Stock Exchange,0.43
2026-03-31,000300,沪深300,CSI 300,000100,TCL科技,TCL Technology Group Corporation,深圳证券交易所,Shenzhen Stock Exchange,0.366
2026-03-31,000300,沪深300,CSI 300,000157,中联重科,Zoomlion Heavy Industry Science & Technology Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.176
2026-03-31,000300,沪深300,CSI 300,000166,申万宏源,"Shenwan Hongyuan Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,0.174
2026-03-31,000300,沪深300,CSI 300,000301,东方盛虹,"Jiangsu Eastern Shenghong Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.116
2026-03-31,000300,沪深300,CSI 300,000333,美的集团,"Midea Group CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,1.547
2026-03-31,000300,沪深300,CSI 300,000338,潍柴动力,Wei Chai Power Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.54
2026-03-31,000300,沪深300,CSI 300,000408,藏格矿业,ZANGGE MINING COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange,0.256
2026-03-31,000300,沪深300,CSI 300,000425,徐工机械,XCMG Construction Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.39
2026-03-31,000300,沪深300,CSI 300,000538,云南白药,"Yunnan Baiyao Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.201
2026-03-31,000300,沪深300,CSI 300,000568,泸州老窖,Luzhou Lao Jiao Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.317
2026-03-31,000300,沪深300,CSI 300,000596,古井贡酒,Anhui Gujing Distillery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.069
2026-03-31,000300,沪深300,CSI 300,000617,中油资本,CNPC Capital Company Limited,深圳证券交易所,Shenzhen Stock Exchange,0.106
2026-03-31,000300,沪深300,CSI 300,000625,长安汽车,Chongqing Changan Automobile Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.204
2026-03-31,000300,沪深300,CSI 300,000630,铜陵有色,Tongling Nonferrous Metals Group Co. Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.192
2026-03-31,000300,沪深300,CSI 300,000651,格力电器,"Gree Electric Appliances,Inc. of Zhuhai",深圳证券交易所,Shenzhen Stock Exchange,0.698
2026-03-31,000300,沪深300,CSI 300,000661,长春高新,Chang Chun High and New Technology Industry (Group) Inc.,深圳证券交易所,Shenzhen Stock Exchange,0.115
2026-03-31,000300,沪深300,CSI 300,000708,中信特钢,"CITIC Pacific Special Steel Group Co., Ltd",深圳证券交易所,Shenzhen Stock Exchange,0.068
2026-03-31,000300,沪深300,CSI 300,000725,京东方A,BOE Technology Group Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.591
2026-03-31,000300,沪深300,CSI 300,000768,中航西飞,AVIC XI'AN AIRCRAFT INDUSTRY GROUP COMPANY LTD.,深圳证券交易所,Shenzhen Stock Exchange,0.141
2026-03-31,000300,沪深300,CSI 300,000776,广发证券,"GF Securities Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.218
2026-03-31,000300,沪深300,CSI 300,000786,北新建材,Beijing New Building Materials Public Ltd Co,深圳证券交易所,Shenzhen Stock Exchange,0.11
2026-03-31,000300,沪深300,CSI 300,000792,盐湖股份,Qinghai Salt Lake Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.484
2026-03-31,000300,沪深300,CSI 300,000807,云铝股份,Yunnan Aluminium Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.265
2026-03-31,000300,沪深300,CSI 300,000858,五 粮 液,Wuliangye Yibin Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.825
2026-03-31,000300,沪深300,CSI 300,000876,新 希 望,"NEW HOPE LIUHE CO., LTD",深圳证券交易所,Shenzhen Stock Exchange,0.076
2026-03-31,000300,沪深300,CSI 300,000895,双汇发展,Henan Shuanghui Investment & Development Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.121
2026-03-31,000300,沪深300,CSI 300,000938,紫光股份,"Unisplendour Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange,0.205
2026-03-31,000300,沪深300,CSI 300,000963,华东医药,Huadong Medicine Co Ltd,深圳证券交易所,Shenzhen Stock Exchange,0.127
